Country,Crop,Year,Unit,Yield
India,Maize (corn),2010,kg/ha,2540.1
India,Maize (corn),2011,kg/ha,2478.4
India,Maize (corn),2012,kg/ha,2555.7
India,Maize (corn),2013,kg/ha,2572.6
India,Maize (corn),2014,kg/ha,2572.6
India,Maize (corn),2015,kg/ha,2610.7
India,Maize (corn),2016,kg/ha,2597.2
India,Maize (corn),2017,kg/ha,2688.6
India,Maize (corn),2018,kg/ha,3065.3
India,Maize (corn),2019,kg/ha,3070.2
India,Maize (corn),2020,kg/ha,3006.1
India,Maize (corn),2021,kg/ha,3199.3
India,Maize (corn),2022,kg/ha,3387.2
India,Maize (corn),2023,kg/ha,3544.9
India,Other pulses n.e.c.,2010,kg/ha,424.2
India,Other pulses n.e.c.,2011,kg/ha,411.8
India,Other pulses n.e.c.,2012,kg/ha,436.4
India,Other pulses n.e.c.,2013,kg/ha,496.4
India,Other pulses n.e.c.,2014,kg/ha,513.3
India,Other pulses n.e.c.,2015,kg/ha,459.5
India,Other pulses n.e.c.,2016,kg/ha,444.3
India,Other pulses n.e.c.,2017,kg/ha,440.3
India,Other pulses n.e.c.,2018,kg/ha,438.5
India,Other pulses n.e.c.,2019,kg/ha,439.4
India,Other pulses n.e.c.,2020,kg/ha,437.6
India,Other pulses n.e.c.,2021,kg/ha,438.5
India,Other pulses n.e.c.,2022,kg/ha,438.5
India,Other pulses n.e.c.,2023,kg/ha,438.2
India,Rice,2010,kg/ha,3358.7
India,Rice,2011,kg/ha,3587.8
India,Rice,2012,kg/ha,3690.9
India,Rice,2013,kg/ha,3624.3
India,Rice,2014,kg/ha,3586.8
India,Rice,2015,kg/ha,3600.2
India,Rice,2016,kg/ha,3740.1
India,Rice,2017,kg/ha,3863.7
India,Rice,2018,kg/ha,3956.7
India,Rice,2019,kg/ha,4083.6
India,Rice,2020,kg/ha,4075.7
India,Rice,2021,kg/ha,4196.2
India,Rice,2022,kg/ha,4257.1
India,Rice,2023,kg/ha,4322.3
India,Sugar cane,2010,kg/ha,70019.1
India,Sugar cane,2011,kg/ha,69246.6
India,Sugar cane,2012,kg/ha,71634.3
India,Sugar cane,2013,kg/ha,68240
India,Sugar cane,2014,kg/ha,70569.5
India,Sugar cane,2015,kg/ha,71466.1
India,Sugar cane,2016,kg/ha,70393.5
India,Sugar cane,2017,kg/ha,69001.4
India,Sugar cane,2018,kg/ha,80198.4
India,Sugar cane,2019,kg/ha,80104.5
India,Sugar cane,2020,kg/ha,80496.6
India,Sugar cane,2021,kg/ha,83566.2
India,Sugar cane,2022,kg/ha,84906.3
India,Sugar cane,2023,kg/ha,83348.7
India,Wheat,2010,kg/ha,2839.5
India,Wheat,2011,kg/ha,2988.6
India,Wheat,2012,kg/ha,3177.5
India,Wheat,2013,kg/ha,3153.8
India,Wheat,2014,kg/ha,3145.7
India,Wheat,2015,kg/ha,2749.6
India,Wheat,2016,kg/ha,3033.9
India,Wheat,2017,kg/ha,3199.9
India,Wheat,2018,kg/ha,3368.2
India,Wheat,2019,kg/ha,3533.4
India,Wheat,2020,kg/ha,3439.8
India,Wheat,2021,kg/ha,3520.8
India,Wheat,2022,kg/ha,3537.3
India,Wheat,2023,kg/ha,3520.7
